Ver1.3	226725420	StartFile	2/12/2021	9:33:03 AM	E:\BehavioralExperiments\Gerald\Horizon\RawData\021221\SoundData.txt	226725420
228313210	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	228313210
228325042	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228325042
228325245	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	228325245
228328051	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228328051
228328254	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	228328254
228341950	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228341950
228342153	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	228342153
228345318	Triggered	4,42,43,44,45,46,	 NoSound	40	2	228345318
228345520	Triggered	4,42,43,44,45,46,	 File_beep4	40	2	228345520
228360420	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	228360420
228360623	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	228360623
